Title,Category,Description,Difficulty,Duration,Rating,Tags
Python Course 1,Python,Comprehensive python course covering practical concepts and projects.,Advanced,30 Hours,4.3,"python, programming, basics, oop"
Python Course 2,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,5 Hours,4.9,"python, programming, basics, oop"
Python Course 3,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,15 Hours,4.8,"python, programming, basics, oop"
Python Course 4,Python,Comprehensive python course covering practical concepts and projects.,Advanced,12 Hours,4.7,"python, programming, basics, oop"
Python Course 5,Python,Comprehensive python course covering practical concepts and projects.,Beginner,40 Hours,4.8,"python, programming, basics, oop"
Python Course 6,Python,Comprehensive python course covering practical concepts and projects.,Advanced,20 Hours,4.6,"python, programming, basics, oop"
Python Course 7,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,20 Hours,4.6,"python, programming, basics, oop"
Python Course 8,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,20 Hours,4.7,"python, programming, basics, oop"
Python Course 9,Python,Comprehensive python course covering practical concepts and projects.,Intermediate,25 Hours,4.3,"python, programming, basics, oop"
Python Course 10,Python,Comprehensive python course covering practical concepts and projects.,Beginner,10 Hours,4.5,"python, programming, basics, oop"
Java Course 1,Java,Comprehensive java course covering practical concepts and projects.,Beginner,12 Hours,4.8,"java, spring, oop, backend"
Java Course 2,Java,Comprehensive java course covering practical concepts and projects.,Advanced,30 Hours,4.3,"java, spring, oop, backend"
Java Course 3,Java,Comprehensive java course covering practical concepts and projects.,Advanced,20 Hours,4.9,"java, spring, oop, backend"
Java Course 4,Java,Comprehensive java course covering practical concepts and projects.,Intermediate,5 Hours,4.6,"java, spring, oop, backend"
Java Course 5,Java,Comprehensive java course covering practical concepts and projects.,Advanced,10 Hours,5.0,"java, spring, oop, backend"
Java Course 6,Java,Comprehensive java course covering practical concepts and projects.,Advanced,12 Hours,4.8,"java, spring, oop, backend"
Java Course 7,Java,Comprehensive java course covering practical concepts and projects.,Advanced,40 Hours,4.5,"java, spring, oop, backend"
Java Course 8,Java,Comprehensive java course covering practical concepts and projects.,Intermediate,25 Hours,4.5,"java, spring, oop, backend"
Java Course 9,Java,Comprehensive java course covering practical concepts and projects.,Advanced,20 Hours,4.6,"java, spring, oop, backend"
Java Course 10,Java,Comprehensive java course covering practical concepts and projects.,Intermediate,20 Hours,4.5,"java, spring, oop, backend"
C++ Course 1,C++,Comprehensive c++ course covering practical concepts and projects.,Intermediate,30 Hours,4.6,"c++, stl, algorithms, programming"
C++ Course 2,C++,Comprehensive c++ course covering practical concepts and projects.,Intermediate,30 Hours,4.8,"c++, stl, algorithms, programming"
C++ Course 3,C++,Comprehensive c++ course covering practical concepts and projects.,Beginner,5 Hours,5.0,"c++, stl, algorithms, programming"
C++ Course 4,C++,Comprehensive c++ course covering practical concepts and projects.,Intermediate,5 Hours,4.9,"c++, stl, algorithms, programming"
C++ Course 5,C++,Comprehensive c++ course covering practical concepts and projects.,Beginner,12 Hours,4.6,"c++, stl, algorithms, programming"
C++ Course 6,C++,Comprehensive c++ course covering practical concepts and projects.,Advanced,20 Hours,4.8,"c++, stl, algorithms, programming"
C++ Course 7,C++,Comprehensive c++ course covering practical concepts and projects.,Beginner,20 Hours,4.3,"c++, stl, algorithms, programming"
C++ Course 8,C++,Comprehensive c++ course covering practical concepts and projects.,Advanced,5 Hours,4.9,"c++, stl, algorithms, programming"
C++ Course 9,C++,Comprehensive c++ course covering practical concepts and projects.,Advanced,20 Hours,4.8,"c++, stl, algorithms, programming"
C++ Course 10,C++,Comprehensive c++ course covering practical concepts and projects.,Intermediate,25 Hours,4.5,"c++, stl, algorithms, programming"
Machine Learning Course 1,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Advanced,30 Hours,4.9,"ml, sklearn, classification, regression"
Machine Learning Course 2,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Beginner,20 Hours,4.9,"ml, sklearn, classification, regression"
Machine Learning Course 3,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Beginner,30 Hours,4.3,"ml, sklearn, classification, regression"
Machine Learning Course 4,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Advanced,10 Hours,4.9,"ml, sklearn, classification, regression"
Machine Learning Course 5,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Intermediate,15 Hours,4.6,"ml, sklearn, classification, regression"
Machine Learning Course 6,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Advanced,15 Hours,4.8,"ml, sklearn, classification, regression"
Machine Learning Course 7,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Beginner,40 Hours,4.5,"ml, sklearn, classification, regression"
Machine Learning Course 8,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Intermediate,30 Hours,4.8,"ml, sklearn, classification, regression"
Machine Learning Course 9,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Beginner,25 Hours,4.5,"ml, sklearn, classification, regression"
Machine Learning Course 10,Machine Learning,Comprehensive machine learning course covering practical concepts and projects.,Beginner,10 Hours,4.4,"ml, sklearn, classification, regression"
Artificial Intelligence Course 1,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Intermediate,5 Hours,4.7,"ai, neural networks, llm, automation"
Artificial Intelligence Course 2,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Intermediate,12 Hours,4.3,"ai, neural networks, llm, automation"
Artificial Intelligence Course 3,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Intermediate,10 Hours,5.0,"ai, neural networks, llm, automation"
Artificial Intelligence Course 4,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Beginner,20 Hours,4.8,"ai, neural networks, llm, automation"
Artificial Intelligence Course 5,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Beginner,15 Hours,4.8,"ai, neural networks, llm, automation"
Artificial Intelligence Course 6,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Advanced,20 Hours,4.2,"ai, neural networks, llm, automation"
Artificial Intelligence Course 7,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Intermediate,20 Hours,4.9,"ai, neural networks, llm, automation"
Artificial Intelligence Course 8,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Intermediate,20 Hours,4.9,"ai, neural networks, llm, automation"
Artificial Intelligence Course 9,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Beginner,8 Hours,4.8,"ai, neural networks, llm, automation"
Artificial Intelligence Course 10,Artificial Intelligence,Comprehensive artificial intelligence course covering practical concepts and projects.,Beginner,8 Hours,4.8,"ai, neural networks, llm, automation"
Data Science Course 1,Data Science,Comprehensive data science course covering practical concepts and projects.,Beginner,5 Hours,4.7,"pandas, numpy, visualization, analysis"
Data Science Course 2,Data Science,Comprehensive data science course covering practical concepts and projects.,Advanced,20 Hours,4.7,"pandas, numpy, visualization, analysis"
Data Science Course 3,Data Science,Comprehensive data science course covering practical concepts and projects.,Intermediate,20 Hours,4.2,"pandas, numpy, visualization, analysis"
Data Science Course 4,Data Science,Comprehensive data science course covering practical concepts and projects.,Advanced,8 Hours,4.8,"pandas, numpy, visualization, analysis"
Data Science Course 5,Data Science,Comprehensive data science course covering practical concepts and projects.,Beginner,25 Hours,4.3,"pandas, numpy, visualization, analysis"
Data Science Course 6,Data Science,Comprehensive data science course covering practical concepts and projects.,Advanced,25 Hours,4.8,"pandas, numpy, visualization, analysis"
Data Science Course 7,Data Science,Comprehensive data science course covering practical concepts and projects.,Beginner,5 Hours,4.5,"pandas, numpy, visualization, analysis"
Data Science Course 8,Data Science,Comprehensive data science course covering practical concepts and projects.,Beginner,12 Hours,4.3,"pandas, numpy, visualization, analysis"
Data Science Course 9,Data Science,Comprehensive data science course covering practical concepts and projects.,Advanced,10 Hours,4.3,"pandas, numpy, visualization, analysis"
Data Science Course 10,Data Science,Comprehensive data science course covering practical concepts and projects.,Intermediate,30 Hours,4.4,"pandas, numpy, visualization, analysis"
SQL Course 1,SQL,Comprehensive sql course covering practical concepts and projects.,Advanced,20 Hours,4.5,"sql, database, mysql, queries"
SQL Course 2,SQL,Comprehensive sql course covering practical concepts and projects.,Beginner,5 Hours,4.6,"sql, database, mysql, queries"
SQL Course 3,SQL,Comprehensive sql course covering practical concepts and projects.,Advanced,40 Hours,4.4,"sql, database, mysql, queries"
SQL Course 4,SQL,Comprehensive sql course covering practical concepts and projects.,Beginner,12 Hours,4.6,"sql, database, mysql, queries"
SQL Course 5,SQL,Comprehensive sql course covering practical concepts and projects.,Beginner,40 Hours,4.4,"sql, database, mysql, queries"
SQL Course 6,SQL,Comprehensive sql course covering practical concepts and projects.,Intermediate,5 Hours,4.6,"sql, database, mysql, queries"
SQL Course 7,SQL,Comprehensive sql course covering practical concepts and projects.,Beginner,25 Hours,5.0,"sql, database, mysql, queries"
SQL Course 8,SQL,Comprehensive sql course covering practical concepts and projects.,Beginner,10 Hours,4.9,"sql, database, mysql, queries"
SQL Course 9,SQL,Comprehensive sql course covering practical concepts and projects.,Intermediate,20 Hours,4.5,"sql, database, mysql, queries"
SQL Course 10,SQL,Comprehensive sql course covering practical concepts and projects.,Intermediate,10 Hours,4.5,"sql, database, mysql, queries"
Web Development Course 1,Web Development,Comprehensive web development course covering practical concepts and projects.,Intermediate,12 Hours,4.8,"html, css, javascript, react"
Web Development Course 2,Web Development,Comprehensive web development course covering practical concepts and projects.,Intermediate,40 Hours,4.9,"html, css, javascript, react"
Web Development Course 3,Web Development,Comprehensive web development course covering practical concepts and projects.,Beginner,30 Hours,4.2,"html, css, javascript, react"
Web Development Course 4,Web Development,Comprehensive web development course covering practical concepts and projects.,Intermediate,20 Hours,5.0,"html, css, javascript, react"
Web Development Course 5,Web Development,Comprehensive web development course covering practical concepts and projects.,Beginner,10 Hours,4.7,"html, css, javascript, react"
Web Development Course 6,Web Development,Comprehensive web development course covering practical concepts and projects.,Advanced,5 Hours,4.4,"html, css, javascript, react"
Web Development Course 7,Web Development,Comprehensive web development course covering practical concepts and projects.,Intermediate,25 Hours,4.6,"html, css, javascript, react"
Web Development Course 8,Web Development,Comprehensive web development course covering practical concepts and projects.,Advanced,10 Hours,4.4,"html, css, javascript, react"
Web Development Course 9,Web Development,Comprehensive web development course covering practical concepts and projects.,Advanced,10 Hours,4.4,"html, css, javascript, react"
Web Development Course 10,Web Development,Comprehensive web development course covering practical concepts and projects.,Beginner,40 Hours,4.9,"html, css, javascript, react"
Cloud Computing Course 1,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Beginner,15 Hours,4.9,"aws, azure, cloud, deployment"
Cloud Computing Course 2,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Advanced,25 Hours,4.4,"aws, azure, cloud, deployment"
Cloud Computing Course 3,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Beginner,40 Hours,4.2,"aws, azure, cloud, deployment"
Cloud Computing Course 4,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Intermediate,15 Hours,4.3,"aws, azure, cloud, deployment"
Cloud Computing Course 5,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Advanced,30 Hours,4.7,"aws, azure, cloud, deployment"
Cloud Computing Course 6,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Intermediate,15 Hours,4.8,"aws, azure, cloud, deployment"
Cloud Computing Course 7,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Intermediate,25 Hours,4.9,"aws, azure, cloud, deployment"
Cloud Computing Course 8,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Advanced,30 Hours,4.7,"aws, azure, cloud, deployment"
Cloud Computing Course 9,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Beginner,40 Hours,4.8,"aws, azure, cloud, deployment"
Cloud Computing Course 10,Cloud Computing,Comprehensive cloud computing course covering practical concepts and projects.,Intermediate,5 Hours,4.5,"aws, azure, cloud, deployment"
DevOps Course 1,DevOps,Comprehensive devops course covering practical concepts and projects.,Beginner,5 Hours,4.7,"docker, kubernetes, ci/cd, linux"
DevOps Course 2,DevOps,Comprehensive devops course covering practical concepts and projects.,Advanced,30 Hours,4.9,"docker, kubernetes, ci/cd, linux"
DevOps Course 3,DevOps,Comprehensive devops course covering practical concepts and projects.,Advanced,30 Hours,4.4,"docker, kubernetes, ci/cd, linux"
DevOps Course 4,DevOps,Comprehensive devops course covering practical concepts and projects.,Intermediate,40 Hours,4.7,"docker, kubernetes, ci/cd, linux"
DevOps Course 5,DevOps,Comprehensive devops course covering practical concepts and projects.,Beginner,30 Hours,4.8,"docker, kubernetes, ci/cd, linux"
DevOps Course 6,DevOps,Comprehensive devops course covering practical concepts and projects.,Advanced,20 Hours,4.7,"docker, kubernetes, ci/cd, linux"
DevOps Course 7,DevOps,Comprehensive devops course covering practical concepts and projects.,Intermediate,8 Hours,4.4,"docker, kubernetes, ci/cd, linux"
DevOps Course 8,DevOps,Comprehensive devops course covering practical concepts and projects.,Intermediate,20 Hours,4.6,"docker, kubernetes, ci/cd, linux"
DevOps Course 9,DevOps,Comprehensive devops course covering practical concepts and projects.,Beginner,8 Hours,4.5,"docker, kubernetes, ci/cd, linux"
DevOps Course 10,DevOps,Comprehensive devops course covering practical concepts and projects.,Advanced,30 Hours,4.9,"docker, kubernetes, ci/cd, linux"
Cyber Security Course 1,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Beginner,5 Hours,4.4,"network, security, ethical hacking, cryptography"
Cyber Security Course 2,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Beginner,8 Hours,4.7,"network, security, ethical hacking, cryptography"
Cyber Security Course 3,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Intermediate,25 Hours,4.6,"network, security, ethical hacking, cryptography"
Cyber Security Course 4,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Beginner,12 Hours,4.6,"network, security, ethical hacking, cryptography"
Cyber Security Course 5,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Beginner,20 Hours,4.9,"network, security, ethical hacking, cryptography"
Cyber Security Course 6,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Intermediate,10 Hours,4.4,"network, security, ethical hacking, cryptography"
Cyber Security Course 7,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Beginner,25 Hours,4.2,"network, security, ethical hacking, cryptography"
Cyber Security Course 8,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Beginner,12 Hours,4.9,"network, security, ethical hacking, cryptography"
Cyber Security Course 9,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Intermediate,12 Hours,4.7,"network, security, ethical hacking, cryptography"
Cyber Security Course 10,Cyber Security,Comprehensive cyber security course covering practical concepts and projects.,Beginner,30 Hours,4.8,"network, security, ethical hacking, cryptography"
Android Development Course 1,Android Development,Comprehensive android development course covering practical concepts and projects.,Beginner,8 Hours,4.7,"android, kotlin, mobile, ui"
Android Development Course 2,Android Development,Comprehensive android development course covering practical concepts and projects.,Intermediate,25 Hours,4.4,"android, kotlin, mobile, ui"
Android Development Course 3,Android Development,Comprehensive android development course covering practical concepts and projects.,Beginner,25 Hours,4.9,"android, kotlin, mobile, ui"
Android Development Course 4,Android Development,Comprehensive android development course covering practical concepts and projects.,Beginner,8 Hours,4.3,"android, kotlin, mobile, ui"
Android Development Course 5,Android Development,Comprehensive android development course covering practical concepts and projects.,Beginner,10 Hours,4.9,"android, kotlin, mobile, ui"
Android Development Course 6,Android Development,Comprehensive android development course covering practical concepts and projects.,Beginner,5 Hours,4.4,"android, kotlin, mobile, ui"
Android Development Course 7,Android Development,Comprehensive android development course covering practical concepts and projects.,Intermediate,12 Hours,4.6,"android, kotlin, mobile, ui"
Android Development Course 8,Android Development,Comprehensive android development course covering practical concepts and projects.,Intermediate,10 Hours,4.9,"android, kotlin, mobile, ui"
Android Development Course 9,Android Development,Comprehensive android development course covering practical concepts and projects.,Advanced,15 Hours,4.3,"android, kotlin, mobile, ui"
Android Development Course 10,Android Development,Comprehensive android development course covering practical concepts and projects.,Advanced,20 Hours,4.3,"android, kotlin, mobile, ui"
Data Structures Course 1,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Beginner,40 Hours,4.8,"arrays, trees, graphs, dsa"
Data Structures Course 2,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Advanced,30 Hours,4.5,"arrays, trees, graphs, dsa"
Data Structures Course 3,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Advanced,10 Hours,4.3,"arrays, trees, graphs, dsa"
Data Structures Course 4,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Advanced,10 Hours,4.6,"arrays, trees, graphs, dsa"
Data Structures Course 5,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Beginner,5 Hours,4.8,"arrays, trees, graphs, dsa"
Data Structures Course 6,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Intermediate,5 Hours,4.3,"arrays, trees, graphs, dsa"
Data Structures Course 7,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Beginner,10 Hours,4.8,"arrays, trees, graphs, dsa"
Data Structures Course 8,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Advanced,15 Hours,4.2,"arrays, trees, graphs, dsa"
Data Structures Course 9,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Advanced,5 Hours,4.5,"arrays, trees, graphs, dsa"
Data Structures Course 10,Data Structures,Comprehensive data structures course covering practical concepts and projects.,Intermediate,12 Hours,4.8,"arrays, trees, graphs, dsa"
UI/UX Course 1,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Beginner,30 Hours,4.6,"figma, design, prototype, wireframe"
UI/UX Course 2,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Advanced,10 Hours,4.9,"figma, design, prototype, wireframe"
UI/UX Course 3,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Beginner,5 Hours,4.9,"figma, design, prototype, wireframe"
UI/UX Course 4,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Advanced,40 Hours,4.4,"figma, design, prototype, wireframe"
UI/UX Course 5,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Advanced,10 Hours,4.9,"figma, design, prototype, wireframe"
UI/UX Course 6,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Advanced,10 Hours,4.4,"figma, design, prototype, wireframe"
UI/UX Course 7,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Beginner,10 Hours,4.4,"figma, design, prototype, wireframe"
UI/UX Course 8,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Intermediate,40 Hours,5.0,"figma, design, prototype, wireframe"
UI/UX Course 9,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Intermediate,15 Hours,4.7,"figma, design, prototype, wireframe"
UI/UX Course 10,UI/UX,Comprehensive ui/ux course covering practical concepts and projects.,Intermediate,25 Hours,4.9,"figma, design, prototype, wireframe"
Networking Course 1,Networking,Comprehensive networking course covering practical concepts and projects.,Intermediate,10 Hours,4.4,"tcp/ip, routing, switching, protocols"
Networking Course 2,Networking,Comprehensive networking course covering practical concepts and projects.,Advanced,20 Hours,4.5,"tcp/ip, routing, switching, protocols"
Networking Course 3,Networking,Comprehensive networking course covering practical concepts and projects.,Beginner,12 Hours,4.3,"tcp/ip, routing, switching, protocols"
Networking Course 4,Networking,Comprehensive networking course covering practical concepts and projects.,Advanced,15 Hours,4.3,"tcp/ip, routing, switching, protocols"
Networking Course 5,Networking,Comprehensive networking course covering practical concepts and projects.,Advanced,15 Hours,5.0,"tcp/ip, routing, switching, protocols"
Networking Course 6,Networking,Comprehensive networking course covering practical concepts and projects.,Beginner,12 Hours,4.9,"tcp/ip, routing, switching, protocols"
Networking Course 7,Networking,Comprehensive networking course covering practical concepts and projects.,Intermediate,10 Hours,4.9,"tcp/ip, routing, switching, protocols"
Networking Course 8,Networking,Comprehensive networking course covering practical concepts and projects.,Intermediate,8 Hours,4.7,"tcp/ip, routing, switching, protocols"
Networking Course 9,Networking,Comprehensive networking course covering practical concepts and projects.,Advanced,5 Hours,4.5,"tcp/ip, routing, switching, protocols"
Networking Course 10,Networking,Comprehensive networking course covering practical concepts and projects.,Beginner,12 Hours,4.3,"tcp/ip, routing, switching, protocols"
